household_ID,district,campaign,Strategy,Ward,Village,Sub-village,dog_total,dog_vacc_status (owner),number_dogs_seen,microchip_scanned_dogs_yes(microchip),dogs_vacc_cert (Cert)
RCT0534,Rorya,Discretion,3,Bukura,Thabache,Obembe,1,0,1,0,0
RCT0532,Rorya,Discretion,3,Bukura,Thabache,Obembe,1,1,1,1,1
RCT0531,Rorya,Discretion,3,Bukura,Thabache,Obembe,1,1,1,1,1
RCT0542,Rorya,Discretion,3,Bukura,Thabache,Shauri_yako,1,0,1,0,0
RCT0560,Rorya,Discretion,3,Bukura,Thabache,Korino,1,0,1,0,0
RCT0559,Rorya,Discretion,3,Bukura,Thabache,Korino,1,0,1,0,0
RCT0557,Rorya,Discretion,3,Bukura,Thabache,Korino,1,0,1,0,0
RCT0556,Rorya,Discretion,3,Bukura,Thabache,Korino,1,1,1,1,1
RCT0555,Rorya,Discretion,3,Bukura,Thabache,Korino,1,1,1,1,1
RCT0554,Rorya,Discretion,3,Bukura,Thabache,Korino,1,1,1,1,1
RCT0553,Rorya,Discretion,3,Bukura,Thabache,Korino,1,0,1,0,0
RCT0551,Rorya,Discretion,3,Bukura,Thabache,Korino,1,0,1,0,0
RCT0569,Butiama,Village,1,Buswahili,Kongoto,Kiabakari A,1,1,1,1,1
RCT0568,Butiama,Village,1,Buswahili,Kongoto,Kiabakari A,1,1,1,1,1
RCT0567,Butiama,Village,1,Buswahili,Kongoto,Kiabakari A,1,1,1,1,1
RCT0566,Butiama,Village,1,Buswahili,Kongoto,Kiabakari A,1,0,1,0,0
RCT0563,Butiama,Village,1,Buswahili,Kongoto,Kiabakari A,1,1,1,1,1
RCT0630,Butiama,Village,1,Buswahili,Buswahili,Mtukula,1,1,1,1,1
RCT0629,Butiama,Village,1,Buswahili,Buswahili,Mtukula,1,1,1,1,1
RCT0624,Butiama,Village,1,Buswahili,Buswahili,Mtukula,1,1,1,1,1
RCT0639,Butiama,Village,1,Buswahili,Buswahili,Biafra,1,1,1,0,1
