Strategy,campaign_type,dog_total,count,code,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,vacc_dog_no_chip_number,,dogs_no_vacc,vacc_card_status
1,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,3,3,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,3,2,microchip,NA,NA,NA,NA,,1,yes_card
1,continuous,2,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,3,2,microchip,NA,NA,NA,NA,,1,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
1,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,1,1,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,3,1,microchip,NA,NA,NA,NA,,1,yes_card
1,continuous,1,0,microchip,NA,NA,NA,NA,,1,NA
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,2,1,microchip,NA,NA,NA,NA,,1,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
1,continuous,2,2,microchip,NA,NA,NA,NA,,0,yes_card
