household_ID,campaign_type,Strategy,RegionName.y,district,ward,village,sub_village,dog_total,number_dogs_seen,owner_recall_vacc,owner_recall_vacc_no,owner_recall_not_vacc_no,vacc_card_status,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,,variable,meaning
RCT0123,continuous,2,Mara,0,5,12,5,1,1,1,1,0,1,0,NA,no,1,,,
RCT0122,continuous,2,Mara,0,5,12,5,1,1,1,1,0,1,0,NA,no,1,,,
RCT0121,continuous,2,Mara,0,5,12,5,1,1,1,1,0,1,1,NA,no,1,,,
RCT0120,continuous,2,Mara,0,5,10,27,1,1,1,1,0,1,1,NA,no,1,,,
RCT0119,continuous,2,Mara,0,5,10,27,1,1,1,1,0,1,1,NA,no,1,,,
RCT0118,continuous,2,Mara,0,5,10,27,1,1,1,1,0,1,1,NA,no,1,,,
RCT0117,continuous,2,Mara,0,5,10,27,1,1,1,1,0,1,1,NA,no,1,,,
RCT0116,continuous,2,Mara,0,5,10,27,3,1,1,1,2,1,1,NA,no,1,,,
RCT0115,continuous,2,Mara,0,5,10,27,1,1,0,NA,1,,0,NA,,NA,,,
RCT0114,continuous,2,Mara,0,5,10,27,1,1,1,1,0,1,1,NA,no,1,,,
RCT0113,continuous,2,Mara,0,5,10,27,4,3,1,3,1,1,3,NA,no,3,,,
RCT0112,continuous,2,Mara,0,5,10,27,1,1,1,1,0,1,1,NA,no,1,,,
RCT0111,continuous,2,Mara,0,5,10,27,2,2,1,2,0,1,2,NA,no,2,,,
RCT0110,continuous,2,Mara,0,5,10,17,1,1,1,1,0,1,1,NA,no,1,,,
RCT0109,continuous,2,Mara,0,5,10,17,2,0,1,2,0,1,0,NA,no,2,,,
RCT0108,continuous,2,Mara,0,5,10,17,1,1,1,1,0,1,1,NA,no,1,,,
RCT0107,continuous,2,Mara,0,5,10,17,1,1,1,1,0,1,1,NA,no,1,,,
RCT0106,continuous,2,Mara,0,5,10,17,1,1,1,1,0,1,1,NA,no,1,,,
RCT0105,continuous,2,Mara,0,5,10,17,2,0,1,1,1,1,1,NA,no,1,,,
RCT0104,continuous,2,Mara,0,5,10,17,1,1,1,1,0,1,1,NA,no,1,,,
RCT0103,continuous,2,Mara,0,5,10,17,1,1,1,1,0,1,1,NA,no,1,,,
RCT0102,continuous,2,Mara,0,5,10,17,4,4,1,4,0,1,4,NA,no,4,,,
RCT0101,continuous,2,Mara,0,5,10,17,2,2,1,2,0,1,2,NA,no,2,,,
RCT0100,continuous,2,Mara,0,5,10,60,1,1,0,NA,1,,0,NA,,NA,,,
RCT0099,continuous,2,Mara,0,5,10,60,3,3,0,NA,3,,0,NA,,NA,,,
RCT0098,continuous,2,Mara,0,5,10,60,2,1,1,1,1,1,1,NA,no,1,,,
RCT0097,continuous,2,Mara,0,5,10,60,3,2,1,3,0,1,3,NA,no,3,,,
RCT0096,continuous,2,Mara,0,5,10,60,1,1,1,1,0,1,0,NA,no,1,,,
RCT0095,continuous,2,Mara,0,5,10,60,3,1,unknown,NA,0,,0,NA,,NA,,,
RCT0094,continuous,2,Mara,0,5,10,60,2,1,1,1,1,1,1,NA,no,1,,,
RCT0093,continuous,2,Mara,0,5,10,60,1,1,unknown,NA,0,,0,NA,,NA,,,
RCT0092,continuous,2,Mara,0,5,10,60,3,1,1,1,2,1,1,NA,no,1,,,
