"","mean(PROP)","sum(Total)","sum(TEST)","GROUP","PointEst","Lower","Upper"
"X",66.0165851033333,6870,4505,"CONT",65.5749636098981,64.443032321208,66.6894867050185
"X.1",38.0466472333333,2058,783,"PULSE",38.0466472303207,35.9731865471337,40.1646489835667
