sex_respondent,age_respondent,dog_total,campaign_type,Strategy,ward_rorya,village_rorya,subvillage_rorya,dog_vacc_status,dogs_yes_vacc,dogs_no_vacc,vacc_card_status,number_dogs_seen,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert
male,32,1,continuous,2,Mkoma,Michire,Okebe,no_vacc,NA,1,,1,0,NA,,NA
male,56,1,continuous,2,Mkoma,Michire,Okebe,yes_vacc,1,0,yes_card,0,0,NA,no,1
male,20,1,continuous,2,Mkoma,Michire,Okebe,no_vacc,NA,1,,1,0,NA,,NA
,NA,2,continuous,2,Mkoma,Michire,Okebe,yes_vacc,2,0,yes_card,2,2,NA,no,2
male,46,1,continuous,2,Mkoma,Michire,Okebe,yes_vacc,1,0,yes_card,1,0,NA,no,1
male,37,2,continuous,2,Mkoma,Michire,Okebe,yes_vacc,1,1,yes_card,1,1,NA,no,1
male,34,4,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,4,0,yes_card,4,4,NA,no,4
female,78,2,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,60,3,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,2,1,yes_card,3,2,NA,no,2
female,33,1,continuous,1,Buswahili,Wegero,Nyirobi B,no_vacc,NA,1,,1,0,NA,,NA
female,55,2,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,1,1,yes_card,1,1,NA,no,1
male,52,1,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,40,4,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,1,3,yes_card,4,1,NA,no,1
female,55,3,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,3,0,yes_card,2,2,NA,no,3
female,26,2,continuous,1,Buswahili,Wegero,Nyirobi B,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,21,2,continuous,1,Buswahili,Wegero,Nyirobi B,no_vacc,NA,2,,2,0,NA,,NA
female,22,1,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,45,2,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,2,0,yes_card,2,2,NA,no,2
male,83,1,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,23,3,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,2,1,yes_card,3,2,NA,no,2
male,21,1,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,75,5,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,3,2,yes_card,5,3,NA,no,3
female,38,4,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,1,3,yes_card,4,1,NA,no,1
female,63,1,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,34,4,continuous,1,Buswahili,Wegero,Kitorare A,yes_vacc,1,3,yes_card,4,1,NA,no,1
male,29,1,continuous,1,Buswahili,Wegero,Kitorare A,no_vacc,NA,1,,1,0,NA,,NA
female,45,2,continuous,1,Buswahili,Wegero,Nyirema,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,21,3,continuous,1,Buswahili,Wegero,Nyirema,yes_vacc,1,2,yes_card,3,1,NA,no,1
male,47,1,continuous,1,Buswahili,Wegero,Nyirema,no_vacc,NA,1,,1,0,NA,,NA
male,60,3,continuous,1,Buswahili,Wegero,Nyirema,yes_vacc,3,0,yes_card,3,3,NA,no,3
male,45,3,continuous,1,Buswahili,Wegero,Nyirema,no_vacc,NA,3,,3,0,NA,,NA
male,56,2,continuous,1,Buswahili,Wegero,Nyirema,no_vacc,NA,2,,2,0,NA,,NA
female,52,2,continuous,1,Buswahili,Wegero,Nyirema,no_vacc,NA,2,,2,0,NA,,NA
female,55,5,continuous,1,Buswahili,Wegero,Nyirema,yes_vacc,4,1,yes_card,5,4,NA,no,4
male,49,2,continuous,1,Buswahili,Wegero,Nyirema,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,52,2,continuous,1,Buswahili,Wegero,Nyirema,no_vacc,NA,2,,2,0,NA,,NA
female,17,1,continuous,1,Buswahili,Kongoto,Senta,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,46,3,continuous,1,Buswahili,Kongoto,Senta,yes_vacc,3,0,yes_card,3,3,NA,no,3
female,38,2,continuous,1,Buswahili,Kongoto,Senta,no_vacc,NA,2,,2,0,NA,,NA
male,45,1,continuous,1,Buswahili,Kongoto,Senta,no_vacc,NA,1,,1,0,NA,,NA
female,47,4,continuous,1,Buswahili,Kongoto,Senta,yes_vacc,4,0,unknown,4,4,NA,no,4
female,68,2,continuous,1,Buswahili,Kongoto,Senta,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,65,1,continuous,1,Buswahili,Kongoto,Senta,no_vacc,NA,1,,1,0,NA,,NA
female,52,1,continuous,1,Buswahili,Kongoto,Senta,no_vacc,NA,1,,1,0,NA,,NA
male,18,2,continuous,1,Buswahili,Kongoto,Senta,no_vacc,NA,2,,2,0,NA,,NA
female,30,1,continuous,1,Buswahili,Kongoto,Senta,yes_vacc,1,0,yes_card,1,1,NA,no,0
female,66,2,continuous,1,Buswahili,Kongoto,Kiabakari B,no_vacc,NA,2,,2,0,NA,,NA
female,20,5,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,4,1,yes_card,3,2,NA,no,4
male,48,2,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,1,1,yes_card,2,1,NA,no,1
male,56,3,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,2,1,yes_card,3,2,NA,no,2
male,70,2,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,75,2,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,38,2,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,45,5,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,5,0,yes_card,5,5,NA,no,4
female,32,1,continuous,1,Buswahili,Kongoto,Kiabakari B,no_vacc,NA,1,,1,0,NA,,NA
female,23,1,continuous,1,Buswahili,Kongoto,Kiabakari B,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,13,3,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",no_vacc,NA,3,,3,0,NA,,NA
male,13,3,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",no_vacc,NA,3,,3,0,NA,,NA
male,13,3,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",no_vacc,NA,3,,3,0,NA,,NA
male,13,3,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",no_vacc,NA,3,,3,0,NA,,NA
male,62,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,62,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,62,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,62,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,34,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,34,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,34,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,34,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,20,2,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,2,0,yes_card,2,2,NA,no,2
female,20,2,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,2,0,yes_card,2,2,NA,no,2
female,20,2,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,2,0,yes_card,2,2,NA,no,2
female,20,2,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,2,0,yes_card,2,2,NA,no,2
female,NA,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,NA,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,NA,2,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",no_vacc,NA,2,,2,0,NA,,NA
female,NA,2,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",no_vacc,NA,2,,2,0,NA,,NA
male,45,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,45,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,NA,3,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,3,0,yes_card,3,3,NA,no,3
male,NA,3,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,3,0,yes_card,3,3,NA,no,3
female,26,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,26,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,34,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,34,1,continuous,2,Mkoma,"Michire,Michire","Matangwe A,Matangwe A",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,25,1,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",no_vacc,NA,1,,1,0,NA,,NA
female,NA,1,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",no_vacc,NA,1,,1,0,NA,,NA
male,59,1,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,1,0,yes_card,1,1,NA,no,0
male,61,1,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,1,0,yes_card,0,0,NA,no,1
female,49,1,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,42,1,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,NA,2,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,2,0,yes_card,0,0,NA,no,2
female,30,2,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,1,1,yes_card,1,1,NA,no,1
female,NA,2,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,1,1,yes_card,1,1,NA,no,1
male,47,2,continuous,2,Mkoma,"Michire,Michire","Ziwani,Ziwani",yes_vacc,2,0,yes_card,0,0,NA,no,2
male,NA,2,continuous,2,Mkoma,Kabwana,Nyakina,unknown,NA,2,,2,0,NA,,NA
female,31,1,continuous,2,Mkoma,Kabwana,Nyakina,no_vacc,NA,1,,1,0,NA,,NA
female,49,2,continuous,2,Mkoma,Kabwana,Nyakina,no_vacc,NA,0,,2,0,NA,,NA
female,40,1,continuous,2,Mkoma,Kabwana,Nyakina,no_vacc,NA,1,,1,0,NA,,NA
male,50,3,continuous,2,Mkoma,Kabwana,Nyakina,yes_vacc,2,1,yes_card,3,1,NA,no,2
female,25,2,continuous,2,Mkoma,Kabwana,Nyakina,yes_vacc,1,1,yes_card,2,1,NA,no,1
male,NA,4,continuous,2,Mkoma,Kabwana,Nyakina,no_vacc,NA,4,,4,0,NA,,NA
male,NA,1,continuous,2,Mkoma,Kabwana,Nyakina,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,32,3,continuous,2,Mkoma,Kabwana,Nyakina,yes_vacc,2,3,yes_card,1,0,NA,no,2
female,34,1,continuous,2,Mkoma,Kabwana,Nyakina,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,34,1,continuous,3,Bukura,Nyambori,Vunja Amri,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,57,2,continuous,3,Bukura,Nyambori,Zahanati,no_vacc,NA,2,,NA,0,NA,,NA
male,58,3,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,1,2,yes_card,3,1,NA,no,1
female,25,1,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,33,4,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,2,2,yes_card,4,2,NA,no,2
female,45,1,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,1,0,no_card,1,1,NA,no,0
female,18,2,continuous,3,Bukura,Nyambori,Zahanati,no_vacc,NA,2,,2,0,NA,,NA
female,60,2,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,45,1,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,58,1,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,NA,1,continuous,3,Bukura,Nyambori,Zahanati,yes_vacc,1,0,no_card,1,1,NA,no,0
male,41,2,continuous,3,Bukura,Thabache,Obembe,no_vacc,NA,2,,1,0,NA,,NA
female,29,2,continuous,3,Bukura,Thabache,Obembe,no_vacc,NA,2,,1,0,NA,,NA
male,42,1,continuous,3,Bukura,Thabache,Obembe,yes_vacc,1,0,no_card,1,1,NA,no,0
male,45,1,continuous,3,Bukura,Thabache,Obembe,no_vacc,NA,1,,1,0,NA,,NA
female,68,2,continuous,3,Bukura,Thabache,Obembe,no_vacc,NA,2,,2,0,NA,,NA
female,30,1,continuous,3,Bukura,Thabache,Obembe,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,38,1,continuous,3,Bukura,Thabache,Obembe,no_vacc,NA,1,,1,0,NA,,NA
female,45,2,continuous,3,Bukura,Thabache,Obembe,no_vacc,NA,2,,2,0,NA,,NA
female,38,1,continuous,3,Bukura,Thabache,Obembe,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,75,1,continuous,3,Bukura,Thabache,Obembe,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,49,3,continuous,3,Bukura,Thabache,Shauri_yako,yes_vacc,2,1,yes_card,2,1,NA,no,2
male,56,1,continuous,3,Bukura,Thabache,Shauri_yako,no_vacc,NA,1,,NA,0,NA,,NA
male,52,4,continuous,3,Bukura,Thabache,Shauri_yako,yes_vacc,3,1,yes_card,3,2,1,yes,3
female,68,2,continuous,3,Bukura,Thabache,Shauri_yako,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,22,3,continuous,3,Bukura,Thabache,Shauri_yako,yes_vacc,1,2,yes_card,1,0,NA,no,1
female,40,2,continuous,3,Bukura,Thabache,Shauri_yako,yes_vacc,1,1,yes_card,2,1,NA,no,1
male,32,2,continuous,3,Bukura,Thabache,Shauri_yako,no_vacc,NA,0,,2,0,NA,,NA
female,18,2,continuous,3,Bukura,Thabache,Shauri_yako,no_vacc,NA,2,,2,0,NA,,NA
male,71,1,continuous,3,Bukura,Thabache,Shauri_yako,no_vacc,NA,1,,1,0,NA,,NA
female,35,2,continuous,3,Bukura,Thabache,Shauri_yako,yes_vacc,2,0,yes_card,2,2,NA,no,2
male,22,1,continuous,3,Bukura,Thabache,Korino,no_vacc,NA,1,,1,0,NA,,NA
female,25,1,continuous,3,Bukura,Thabache,Korino,no_vacc,NA,1,,1,0,NA,,NA
female,25,3,continuous,3,Bukura,Thabache,Korino,yes_vacc,2,1,yes_card,2,2,NA,no,2
male,22,1,continuous,3,Bukura,Thabache,Korino,no_vacc,NA,1,,1,0,NA,,NA
female,38,1,continuous,3,Bukura,Thabache,Korino,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,25,1,continuous,3,Bukura,Thabache,Korino,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,54,1,continuous,3,Bukura,Thabache,Korino,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,38,1,continuous,3,Bukura,Thabache,Korino,no_vacc,NA,1,,1,0,NA,,NA
female,30,2,continuous,3,Bukura,Thabache,Korino,yes_vacc,1,1,yes_card,1,0,1,yes,1
male,52,1,continuous,3,Bukura,Thabache,Korino,no_vacc,NA,1,,1,0,NA,,NA
female,30,3,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,1,2,yes_card,3,1,NA,no,1
female,35,1,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,45,1,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,2,0,yes_card,1,1,NA,no,2
male,28,1,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,36,1,continuous,1,Buswahili,Kongoto,Kiabakari A,no_vacc,NA,1,,1,0,NA,,NA
male,39,2,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,60,2,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,1,1,yes_card,2,1,NA,no,1
male,58,1,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,2,0,yes_card,1,1,NA,no,2
female,18,2,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,3,0,yes_card,2,2,NA,no,3
female,22,2,continuous,1,Buswahili,Kongoto,Kiabakari A,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,61,1,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,30,1,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,49,3,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,2,1,yes_card,3,2,NA,no,2
male,40,2,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,40,2,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,40,2,continuous,1,Buswahili,Buswahili,Mtukula,no_vacc,NA,2,,2,0,NA,,NA
male,20,1,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,28,2,continuous,1,Buswahili,Buswahili,Mtukula,no_vacc,NA,2,,2,0,NA,,NA
male,47,3,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,3,1,yes_card,4,3,NA,no,3
male,48,4,continuous,1,Buswahili,Buswahili,Mtukula,yes_vacc,2,2,unknown,4,2,NA,no,2
female,35,2,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,29,1,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,1,0,yes_card,1,0,1,yes,1
male,73,3,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,2,1,yes_card,3,2,NA,no,2
female,56,1,continuous,1,Buswahili,Buswahili,Biafra,no_vacc,NA,1,,1,0,NA,,NA
female,44,5,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,4,1,yes_card,5,4,NA,no,4
female,54,4,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,2,2,yes_card,4,2,NA,no,2
male,42,2,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,31,1,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,24,1,continuous,1,Buswahili,Buswahili,Biafra,no_vacc,NA,1,,1,0,NA,,NA
female,69,2,continuous,1,Buswahili,Buswahili,Biafra,yes_vacc,1,1,unknown,2,1,NA,no,0
male,56,2,continuous,1,Buswahili,Buswahili,Kigumi,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,45,3,continuous,1,Buswahili,Buswahili,Kigumi,no_vacc,NA,3,,3,0,NA,,NA
female,24,2,continuous,1,Buswahili,Buswahili,Kigumi,no_vacc,NA,2,,2,0,NA,,NA
male,53,3,continuous,1,Buswahili,Buswahili,Kigumi,yes_vacc,1,2,yes_card,3,1,NA,no,1
female,58,2,continuous,1,Buswahili,Buswahili,Kigumi,yes_vacc,1,1,yes_card,2,1,NA,no,1
male,55,2,continuous,1,Buswahili,Buswahili,Kigumi,no_vacc,NA,2,,2,0,NA,,NA
female,63,1,continuous,1,Buswahili,Buswahili,Kigumi,no_vacc,NA,0,,1,0,NA,,NA
male,65,2,continuous,1,Buswahili,Buswahili,Kigumi,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,45,3,continuous,1,Buswahili,Buswahili,Kigumi,no_vacc,NA,3,,3,0,NA,,NA
male,61,3,continuous,1,Buswahili,Buswahili,Kigumi,yes_vacc,2,1,yes_card,3,2,NA,no,2
male,10,1,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,22,1,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,37,1,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,34,1,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,32,1,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,33,3,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,2,yes_card,3,1,NA,no,1
female,57,1,continuous,2,Mkoma,Kabwana,Kabwana,no_vacc,NA,1,,1,0,NA,,NA
male,41,2,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,1,yes_card,2,1,NA,no,1
female,66,1,continuous,2,Mkoma,Kabwana,Kabwana,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,19,2,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,2,0,yes_card,2,2,NA,no,2
male,62,2,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,14,1,continuous,2,Mkoma,Kabwana,Ryangubo,no_vacc,NA,1,,1,0,NA,,NA
female,29,1,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,1,0,yes_card,2,1,NA,no,1
male,25,1,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,12,4,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,4,0,yes_card,4,4,NA,no,4
female,39,1,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,NA,1,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,NA,2,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,2,0,yes_card,2,1,NA,no,1
male,16,2,continuous,2,Mkoma,Kabwana,Ryangubo,yes_vacc,2,0,yes_card,2,2,NA,no,2
female,62,5,continuous,1,Buswahili,Baranga,Kwisangura A,yes_vacc,3,2,yes_card,5,3,NA,no,3
male,42,2,continuous,1,Buswahili,Baranga,Kwisangura A,no_vacc,NA,2,,2,0,NA,,NA
female,25,1,continuous,1,Buswahili,Baranga,Kwisangura A,no_vacc,NA,1,,1,0,NA,,NA
male,62,1,continuous,1,Buswahili,Baranga,Kwisangura A,yes_vacc,1,0,yes_card,1,1,NA,no,1
female,57,2,continuous,1,Buswahili,Baranga,Kwisangura A,no_vacc,NA,2,,2,0,NA,,NA
female,42,2,continuous,1,Buswahili,Baranga,Kwisangura A,yes_vacc,2,0,yes_card,2,2,NA,no,2
male,47,1,continuous,1,Buswahili,Baranga,Kwisangura A,yes_vacc,1,0,yes_card,1,1,NA,no,1
male,78,4,continuous,1,Buswahili,Baranga,Kwisangura A,no_vacc,NA,4,,4,0,NA,,NA
female,20,3,continuous,1,Buswahili,Baranga,Kwisangura A,no_vacc,NA,3,,3,0,NA,,NA
female,63,5,continuous,1,Buswahili,Baranga,Kwisangura A,no_vacc,NA,5,,5,0,NA,,NA
female,47,3,continuous,1,Buswahili,Baranga,Kiabukima,no_vacc,NA,3,,3,0,NA,,NA
female,25,2,continuous,1,Buswahili,Baranga,Kiabukima,no_vacc,NA,2,,2,0,NA,,NA
male,30,4,continuous,1,Buswahili,Baranga,Kiabukima,no_vacc,NA,4,,4,8,NA,,NA
female,37,11,continuous,1,Buswahili,Baranga,Kiabukima,yes_vacc,1,10,unknown,11,1,NA,no,0
female,65,3,continuous,1,Buswahili,Baranga,Kiabukima,no_vacc,NA,3,,3,0,NA,,NA
female,32,6,continuous,1,Buswahili,Baranga,Kiabukima,yes_vacc,4,2,yes_card,6,4,NA,no,4
female,37,3,continuous,1,Buswahili,Baranga,Kiabukima,yes_vacc,2,1,yes_card,3,2,NA,no,2
male,57,3,continuous,1,Buswahili,Baranga,Kiabukima,yes_vacc,3,0,yes_card,3,3,NA,no,3
female,60,4,continuous,1,Buswahili,Baranga,Kiabukima,yes_vacc,1,3,yes_card,4,1,NA,no,1
female,58,2,continuous,1,Buswahili,Baranga,Kiabukima,yes_vacc,2,0,unknown,2,2,NA,no,2
male,67,1,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",no_vacc,NA,1,,1,0,NA,,NA
male,18,4,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Nyanungu,Nyanungu",yes_vacc,1,3,yes_card,4,1,NA,no,1
male,32,3,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",yes_vacc,3,0,yes_card,2,3,NA,no,3
female,30,2,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Nyanungu,Nyanungu",yes_vacc,2,0,yes_card,2,2,NA,no,2
male,51,1,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",yes_vacc,1,0,yes_card,1,1,NA,no,1
female,30,2,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Nyanungu,Nyanungu",yes_vacc,2,0,yes_card,1,2,NA,no,2
female,38,1,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",no_vacc,NA,1,,0,0,NA,,NA
male,44,1,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Nyanungu,Nyanungu",yes_vacc,1,0,yes_card,1,1,NA,no,1
male,18,2,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",yes_vacc,1,1,yes_card,0,1,NA,no,1
female,75,4,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",yes_vacc,4,0,yes_card,0,0,NA,no,4
female,NA,1,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",yes_vacc,1,0,yes_card,1,0,NA,no,1
female,36,2,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",no_vacc,NA,2,,2,0,NA,,NA
male,20,5,continuous,2,Nyanungu,"Nyamombara,Nyamombara","Mumwamu,Mumwamu",yes_vacc,4,1,yes_card,0,4,NA,no,1
